Data,E72870000,E72849000,E72810000,E72715000,E72680000,E72630000,E72430000
1985-07-26,"0,0058904762","0,0033565345","0,0035829373","0,0070272779","0,0091598634","0,0092353714","0,0098178827"
1985-07-27,"0,0058904762","0,0033334035","0,0035829373","0,0070126437","0,0089656803","0,0088001179","0,0095277037"
1985-07-28,"0,0033952381","0,0028530214","0,0035829373","0,0068505481","0,0087733607","0,0088001179","0,0095277037"
1985-07-29,"0,0053380952","0,0033022373","0,0035829373","0,0070030989","0,0093559098","0,0098998357","0,0098178827"
1985-07-30,"0,0058904762","0,0038639082","0,0039639866","0,0073479655","0,0101586202","0,01150235","0,0095277037"
1985-07-31,"0,0071095238","0,0037358524","0,0035829373","0,0071522565","0,0109907787","0,0110372179","0,0106915247"
1985-08-01,"0,0071095238","0,0072125916","0,0043587632","0,0083250059","0,0381838525","0,0432813214","0,0160163086"
1985-08-02,"0,008452381","0,0075449464","0,0043587632","0,0085177805","0,0495729781","0,0429506071","0,0235921481"
1985-08-03,"0,0077380952","0,0067089819","0,0051880995","0,0088345851","0,0324747541","0,0284710607","0,0196304444"
1985-08-04,"0,0053380952","0,00545122","0,0047669109","0,0082382387","0,0262379071","0,023323875","0,0172159938"
1985-08-05,"0,0067952381","0,0052414773","0,0043587632","0,0079873149","0,0243927322","0,021610375","0,0166154938"
1985-08-06,"0,008452381","0,0048770196","0,0035829373","0,0075143046","0,0231961803","0,021610375","0,0166154938"
1985-08-07,"0,0074238095","0,0041313309","0,0032160055","0,0070979139","0,0203233033","0,0185726107","0,0154185"
1985-08-08,"0,0071095238","0,0041857131","0,0035829373","0,0073210454","0,0178840273","0,0167125214","0,0148220926"
1985-08-09,"0,0071095238","0,0041900121","0,0035829373","0,0073368631","0,0171020738","0,0172379929","0,0148220926"
1985-08-10,"0,0064809524","0,004605431","0,0035829373","0,0073810749","0,0214520464","0,0230356","0,0148220926"
1985-08-11,"0,0035952381","0,0047274624","0,0035829373","0,0075915939","0,0271830219","0,0354467321","0,0226740247"
1985-08-12,"0,008452381","0,0101840017","0,0039639866","0,0102950043","0,102142623","0,0987029286","0,0803008025"
1985-08-13,"0,012852381","0,009388773","0,0043587632","0,0107599831","0,0893168579","0,0785986429","0,0875846296"
1985-08-14,"0,0142238095","0,0083148731","0,0043587632","0,0097536731","0,0595402186","0,0523375714","0,0541806543"
1985-08-15,"0,012852381","0,0071783712","0,0043587632","0,00915907","0,0423472404","0,0386845714","0,0394873272"
1985-08-16,"0,0111238095","0,0060358958","0,0039639866","0,0084441474","0,0331657104","0,0306672893","0,0310103395"
1985-08-17,"0,0099238095","0,0051949577","0,0035829373","0,0079056536","0,0278213934","0,0259656679","0,026359358"
1985-08-18,"0,0077380952","0,0047233999","0,0035829373","0,0077392512","0,0262379071","0,0253713393","0,0254348889"
1985-08-19,"0,0091666667","0,0054794008","0,0035829373","0,0081575476","0,0275013934","0,0357687143","0,0306988704"
1985-08-20,"0,0099238095","0,0065338896","0,0035829373","0,0085439709","0,0411926503","0,0476117857","0,0388552531"
1985-08-21,"0,0095238095","0,0067035726","0,0035829373","0,0086671228","0,0508266393","0,0503046071","0,0455217778"
1985-08-22,"0,0095238095","0,0060949445","0,0035829373","0,0082764867","0,0431248907","0,0390105","0,0363332901"
1985-08-23,"0,0088095238","0,0050389674","0,0032160055","0,0077045443","0,0338631967","0,0306672893","0,0303875926"
1985-08-24,"0,0077380952","0,004199977","0,0028636209","0,0072005446","0,0281430874","0,0256679929","0,0260509815"
1985-08-25,"0,0058904762","0,0036517229","0,0028636209","0,0069774535","0,0246960738","0,0227483929","0,0232858642"
1985-08-26,"0,008452381","0,0034727936","0,0022044547","0,0065680405","0,0223164836","0,020768375","0,0211488889"
1985-08-27,"0,0080952381","0,0033678627","0,0022044547","0,0065392523","0,0226080246","0,0202126143","0,0214533951"
1985-08-28,"0,0099238095","0,0060616375","0,0028636209","0,0076283136","0,0435160929","0,0416313929","0,0291444444"
1985-08-29,"0,0088095238","0,0051294291","0,0028636209","0,0072973839","0,0345671585","0,0319323036","0,0238986852"
