Cdigo,1,2,3,4,5,6,7,8,9,10,11,12,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2751011,"181,685715","192,339286","137,599999","155,207143","156,396428","143,548146","149,764285","134,907406","171,939288","221,439287","171,032143","174,507143","1990,366269","548,532144","449,20357","456,610978","564,410718","7007565,5","409532,752",737
2751012,"156,229999","162,123335","109,503333","132,21","142,909999","133,416668","148,029999","111,406667","156,093334","197,546666","154,166665","145,69","1749,326666","464,043334","384,623332","415,530001","507,806665","6975502,08","439827,68",504
2751015,"161,544825","164,568966","108,486208","151,086206","160,155172","139,844827","177,193104","127,762069","176,786208","224,172413","163,082758","154,689656","1909,372411","480,803447","419,727586","481,741381","564,041379","6938396,63","454939,381",759
2751017,"180,96","155,000001","117,193334","136,57","169,026667","140,426667","185,3","139,106668","180,223333","222,660001","165,593334","152,003333","1944,063338","487,963334","422,790001","504,630002","568,476668",6902181,"455511,257",856
2752005,"166,46154","166,992308","131,496153","150,85","155,548001","135,012","146,188","130,619231","167,761538","215,457693","154,557694","160,696155","1881,640312","494,150003","437,894154","444,56877","537,776925","6978334,64","401719,304",543
2752006,"179,379999","173,083334","131,15","156,530001","185,32","153,31","175,94","156,483333","202,393333","233,77","166,736668","166,983333","2081,080002","519,446666","473,000001","534,816666","602,900001","6918258,6","371620,104",760
2752017,"148,203448","152,776664","114,056666","132,972414","153,493334","144,890001","166,106896","118,624137","172,299999","208,41","152,939999","139,196667","1803,970226","440,176779","400,522414","457,031032","533,649998","6969639,93","356187,92",800
2753002,"148,653333","154,300001","115,153334","152,010001","149,989999","152,9","144,203334","124,323333","152,563333","208,643334","153,709999","150,996666","1807,446667","453,95","417,153334","421,09","514,916666","6972501,97","262584,596",553
2753006,"152,563332","190,666667","127,816667","153,416669","154,610001","149,016667","149,589999","119,410001","160,906666","211,806666","152,136667","158,823334","1880,763335","502,053333","435,843337","429,906666","524,849999","7003841,67","285910,351",386
2753009,"148,063334","152,700001","131,676667","159,470001","148,593333","141,846668","136,063334","106,023335","149,773333","214,980001","136,566667","154,136667","1779,893341","454,900002","439,740001","391,860002","501,320001","6960287,46","210062,478",434
